lokacija	broj_soba	kvadratura	sprat	novogradnja	centralno_grejanje	lift	parking	uknjizen	stanje	cena	klasa
Lekino Brdo	2	38	I-II	DA	NE	DA	DA		2	1671.052632	1.5-1.7K
Novi Beograd-Opština	1	41	V+	NE	DA	DA		DA		1670.731707	1.5-1.7K
Beli dvor	2	60	P	DA	DA		DA	DA	2	1666.666667	1.5-1.7K
Beli dvor	3	60	I-II		DA	DA	DA	DA		1666.666667	1.5-1.7K
Centar-Stari grad	2	42	V+		DA	DA		DA	1	1666.666667	1.5-1.7K
Centar-Stari grad	3	90	V+		DA	DA		DA	1	1666.666667	1.5-1.7K
Cerak vinogradi	2	30	I-II	DA	DA					1666.666667	1.5-1.7K
Crveni krst	3	72	III-IV	DA	DA	DA	NE	DA	2	1666.666667	1.5-1.7K
Novi Beograd-Hotel Jugoslavija	3	75	V+	NE	DA	DA		DA		1666.666667	1.5-1.7K
Lekino Brdo	3	72	I-II	DA	DA	DA	DA	DA	1	1666.666667	1.5-1.7K
Lekino Brdo	3	78	I-II	DA	NE		DA	DA	1	1666.666667	1.5-1.7K
Novi Beograd-Opština	2	42	I-II	NE	DA	DA	DA	DA	1	1666.666667	1.5-1.7K
Novi Beograd-Opština	3	72	V+	NE	DA	DA	NE	DA		1666.666667	1.5-1.7K
Novi Beograd-Sava Centar	2	60	III-IV	NE	DA	DA	NE	DA	1	1666.666667	1.5-1.7K
Tašmajdan	1	30	P	NE	NE	NE	DA	DA	1	1666.666667	1.5-1.7K
Tašmajdan	3	81	I-II	NE	DA	DA	DA	DA	1	1666.666667	1.5-1.7K
Vračar-Kalenić pijaca	2	54	P	NE	DA	DA	DA	DA	1	1666.666667	1.5-1.7K
Vračar-Kalenić pijaca	1	24	I-II	DA	DA	DA		NE		1666.666667	1.5-1.7K
Vračar-Hram	1	34	I-II	NE	NE			DA	1	1661.764706	1.5-1.7K
Donji Dorćol	2	65	I-II		DA	DA	DA	DA		1661.538462	1.5-1.7K
Konjarnik-Denkova basta 	2	50	V+		DA			DA		1660	1.5-1.7K
Donji Dorćol	2	50	V+		DA	DA		DA	1	1660	1.5-1.7K
Vukov Spomenik	1	41	V+	NE	NE					1658.536585	1.5-1.7K
Bežanijska kosa-Blokovi	2	53	I-II	DA	DA	DA			2	1658.490566	1.5-1.7K
Centar-Stari grad	1	32	V+	DA	DA	DA		DA	2	1656.25	1.5-1.7K
Djeram pijaca 	1	32	I-II		DA	DA	NE	DA		1656.25	1.5-1.7K
Djeram pijaca 	1	32	I-II		DA	DA	NE	DA	1	1656.25	1.5-1.7K
Slavija	3	90	V+	NE	DA	DA	DA	DA	1	1655.555556	1.5-1.7K
